review,rating,date,bank,source
CBE á‹­áˆˆá‹«áˆá¢,5,2025-11-29,CBE,google_play
it's special for me,5,2025-11-29,CBE,google_play
Make it user friendly.,2,2025-11-29,CBE,google_play
maaliif daddafee install gaafata,3,2025-11-28,CBE,google_play
good app,5,2025-11-28,CBE,google_play
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,google_play
why didn't work this app?,1,2025-11-27,CBE,google_play
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,google_play
this app very bad ğŸ‘,1,2025-11-27,CBE,google_play
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,google_play
Good application,4,2025-11-27,CBE,google_play
It is nice app,5,2025-11-26,CBE,google_play
best,5,2025-11-25,CBE,google_play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,google_play
nice app...,5,2025-11-25,CBE,google_play
very good banking service and fast service,5,2025-11-24,CBE,google_play
thanks blc this app help me to use all time,5,2025-11-24,CBE,google_play
good,5,2025-11-24,CBE,google_play
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,google_play
áŠ á‰³ááˆ©áˆ áŒáŠ• áˆˆ15 birr 11.50 á‰¥áˆ­ áˆµá‰µá‰†áˆ­áŒ¡ á‹­áˆµá‰°áŠ«áŠ¨áˆáˆáŠ•,1,2025-11-23,CBE,google_play
á‰ áŒ£áˆ á‰€áˆ‹áˆáŠ“ áˆá‰¹ áŠá‹á¢,5,2025-11-23,CBE,google_play
wow,5,2025-11-23,CBE,google_play
nice,5,2025-11-22,CBE,google_play
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,google_play
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,google_play
excellent,5,2025-11-22,CBE,google_play
á‹³áŒŠ,5,2025-11-21,CBE,google_play
absolutely right,5,2025-11-21,CBE,google_play
mid application it's so annoying,3,2025-11-20,CBE,google_play
I used morethan one year,4,2025-11-20,CBE,google_play
no word can explane about this app it is nice ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,5,2025-11-20,CBE,google_play
"It's great app,I love this app",5,2025-11-20,CBE,google_play
Nice,5,2025-11-19,CBE,google_play
suckkkks,1,2025-11-19,CBE,google_play
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,google_play
I love you this app,5,2025-11-19,CBE,google_play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,google_play
make life easy,5,2025-11-19,CBE,google_play
securr,5,2025-11-19,CBE,google_play
My most optional bank,5,2025-11-17,CBE,google_play
5 star,5,2025-11-17,CBE,google_play
it is fantastic app.,5,2025-11-16,CBE,google_play
sifen,5,2025-11-16,CBE,google_play
i like thisâˆš,4,2025-11-16,CBE,google_play
Ok,3,2025-11-16,CBE,google_play
áŒ¥áˆ© App áŠá‹‰ á¢ á‹¨áŠ” á‹¨áŒáˆ áŠ áˆµá‰°á‹«á‹¨á‰µ- Update á‹ˆá‹­áŠ•áˆ cache cleaning app áˆ²á‹°áˆ¨áŒ áˆˆáˆáŠ•á‹µáŠá‹‰ á‹°áŒáˆ˜áŠ• login áˆµáŠ“á‹°áˆ­áŒ Restricted áˆšá‹«á‹°áˆ­áŒˆá‹‰ á‰¢áˆµá‰°áŠ«áŠ¨áˆ áŠ¥áŠ•á‹° áˆ€áˆ³á‰¥ áŒ¥áˆ© áŠá‹‰á¢ á‰ á‹›áˆ‹á‹­ á‹µáŒ‹áˆš áŠ áŠ­á‰²á‰¬á‰µ áˆˆáˆ›áˆµá‹°áˆ¨áŒ áŠ¨ááˆˆáŠ• ..,5,2025-11-15,CBE,google_play
"Seriously, whatâ€™s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? Itâ€™s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why youâ€™re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,google_play
Like,5,2025-11-13,CBE,google_play
Nice and very useful app i like it!,5,2025-11-13,CBE,google_play
Good,5,2025-11-13,CBE,google_play
smart app,4,2025-11-12,CBE,google_play
good App,5,2025-11-12,CBE,google_play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,google_play
ok,5,2025-11-11,CBE,google_play
cbe is my choice,4,2025-11-11,CBE,google_play
Awesome,5,2025-11-11,CBE,google_play
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,google_play
Very convenient App,5,2025-11-11,CBE,google_play
excellent but sometimes can not connect,5,2025-11-10,CBE,google_play
wow apk,5,2025-11-10,CBE,google_play
best 100 %,5,2025-11-10,CBE,google_play
bad app,1,2025-11-10,CBE,google_play
best app,5,2025-11-10,CBE,google_play
nice app,5,2025-11-10,CBE,google_play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,google_play
I can't access it properly I think it needs update,1,2025-11-10,CBE,google_play
ğŸ‘ŒğŸ‘Œ,5,2025-11-10,CBE,google_play
best ğŸ‘Œ,5,2025-11-10,CBE,google_play
not Refresh,2,2025-11-10,CBE,google_play
your statement is not used as wanted,1,2025-11-10,CBE,google_play
good very good,5,2025-11-09,CBE,google_play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,google_play
Bayeee galatooma kana caalati nu gammachisa ğŸŒğŸ¤ŒğŸ»ğŸ’´ğŸ’¸ğŸ¥°ğŸ‘ŒğŸ»ğŸ™ğŸ»,5,2025-11-08,CBE,google_play
Good !,5,2025-11-08,CBE,google_play
i like it,5,2025-11-08,CBE,google_play
Very nice app,5,2025-11-08,CBE,google_play
the app is not functional this week.,4,2025-11-08,CBE,google_play
very updated bank,5,2025-11-06,CBE,google_play
tankyu,5,2025-11-05,CBE,google_play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,google_play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,google_play
loved it,5,2025-11-05,CBE,google_play
this app is not working on my phone,5,2025-11-03,CBE,google_play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,google_play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,google_play
wow ğŸ˜˜ğŸ˜˜ğŸ˜˜,4,2025-11-02,CBE,google_play
mobile banking broblem,5,2025-11-01,CBE,google_play
good job,5,2025-11-01,CBE,google_play
it is a good and clear apps to use,4,2025-10-31,CBE,google_play
áˆˆáˆáŠ•á‹µáŠ• áŠá‹ áŠ¨áŠ•áŒá‹µ á‰£áŠ•áŠ­ á‹ˆá‹° á‰´áˆŒá‰¥áˆ­ 5 á‰¥áˆ­ áˆ²á‰°áˆ‹áˆˆá 11 á‰¥áˆ­ áŠ¥áŠ•á‹²á‰†áˆ­áŒ¥ á‹«á‹°áˆ¨áŒ‹á‰½áˆá‰µ,1,2025-10-31,CBE,google_play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,google_play
niiceh,5,2025-10-29,CBE,google_play
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,google_play
ğŸ¤®,1,2025-10-29,CBE,google_play
abdulakim abrahim elemoo,5,2025-10-29,CBE,google_play
strong,5,2025-10-28,CBE,google_play
Abebaw Zenebe,5,2025-10-28,CBE,google_play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,google_play
Cbe,5,2025-10-27,CBE,google_play
Active and granted system,5,2025-10-27,CBE,google_play
fast app,4,2025-10-27,CBE,google_play
cool ğŸ˜,5,2025-10-27,CBE,google_play
Galaxy A10s,3,2025-10-26,CBE,google_play
the best apps,5,2025-10-26,CBE,google_play
arif app new,5,2025-10-26,CBE,google_play
laga Bari biranch,5,2025-10-26,CBE,google_play
áŠáŠáˆ áŠáˆ áˆ áŠáˆ áˆ áˆ áˆ áŠá‹¨áŠ,5,2025-10-26,CBE,google_play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,google_play
Attractive,5,2025-10-25,CBE,google_play
mite,5,2025-10-24,CBE,google_play
useful,5,2025-10-24,CBE,google_play
"not good, not bad!",3,2025-10-23,CBE,google_play
very good,5,2025-10-23,CBE,google_play
áŠ¥áŒ…áŒ á‰ áŒ£áˆ áŠ áˆµá‰€á‹«áˆš áŒ á‰áŠ áˆ á‹˜áˆ¨á‹ á‰ áˆšá‰£áˆ á‹°áˆ­áŒƒ á‹¨ áŠ áŒˆáˆáŒáˆá‰µ á‹¨áˆšá‰€á‰ áˆ á‹«áˆáˆ°áˆ«á‰ á‰µáŠ• á‹¨áŒˆá‹› áŒˆáŠ•á‹á‰ á‰£á‰½áŠ•áŠ• á‰°á‹˜áˆ¨ááŠ• áŠ¨ 100á‰¥áˆ­ 10á‰¥áˆ­ á‹¨áŠ áŒˆáˆáŒáˆá‰µ áˆ›áˆµáŠ¨áˆáˆ áˆáŠ• áˆ›áˆˆá‰µ áŠá‹ áŠ¥á‰£áŠ«á‰½áˆ áŠ¥á‹©á‰µ áŠ¥áˆµá‰µá‹­ áŠ¨ áˆá‰£á‹­áˆ á‰£áŠ•áŠ­ á‹ˆá‹° ampsa áŠ áˆµá‰°áˆ‹áˆá‰áŠ“ áŠ¥á‹©á‰µ á‰ áŒ£áˆ á‹­áŒˆáˆ­áˆ›áˆ áˆŒá‰£ á‰¥á‹«á‰¸á‹‹áˆáˆ,1,2025-10-22,CBE,google_play
imp,5,2025-10-22,CBE,google_play
super fast app,5,2025-10-21,CBE,google_play
"The app has a nice design and useful features like balance check and transfers, but itâ€™s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary â€” other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,google_play
cbe,4,2025-10-18,CBE,google_play
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,google_play
blah blah blah,5,2025-10-18,CBE,google_play
bad áŒá‹´á‰³ áˆ˜áˆ†áŠ•áˆ,1,2025-10-17,CBE,google_play
CBE no.1,5,2025-10-17,CBE,google_play
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,google_play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,google_play
gooof,5,2025-10-16,CBE,google_play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,google_play
Best app,5,2025-10-16,CBE,google_play
still not perfect like before,1,2025-10-15,CBE,google_play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full appğŸ˜­ğŸ˜­ğŸ˜­ğŸ¤¤ğŸ¤¤,1,2025-10-15,CBE,google_play
APPLIED,1,2025-10-14,CBE,google_play
10 years ago,4,2025-10-14,CBE,google_play
Asefa Obsa,5,2025-10-14,CBE,google_play
it's good app,5,2025-10-14,CBE,google_play
very slow,1,2025-10-14,CBE,google_play
berhan deriba wami,4,2025-10-14,CBE,google_play
mahamad Usman,5,2025-10-13,CBE,google_play
Erako,5,2025-10-13,CBE,google_play
ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,5,2025-10-13,CBE,google_play
opne,5,2025-10-13,CBE,google_play
mehommd nuri,5,2025-10-13,CBE,google_play
Best,5,2025-10-12,CBE,google_play
providing very secure service.,5,2025-10-12,CBE,google_play
apk áŠ áˆªá áŠá‹ áŒáŠ• á‰ áŒ£áˆ apkwun á‹¨áˆšáŠ¨áá‰± á‹¨ á‰£áŠ•áŠ­ áˆ°áˆ«á‰°áŠá‰½ á‰ áŒ£áˆ á‹°áŠ«áˆ› áŠ“á‰¸á‹ áˆ²á‹«áˆµá‰°áŠ“áŒá‹± áˆˆ á‹°áŠ•á‰ áŠ› áŠ­á‰¥áˆ­ á‹¨áˆ‹á‰¸á‹áˆ áŠ¥áŠ” áˆ˜áˆ˜áˆ‹áˆˆáˆµ áŠ¨áŒ€áˆ˜áˆ­áŠ© á‰†á‹¨á‹ áŒáŠ• áˆ˜áá‰µáˆ… áˆ‹áŒˆáŠ áŠ áˆá‰½áˆáŠ©áˆ ::,1,2025-10-12,CBE,google_play
á‹³áˆ­ áŠ‘áˆ® áˆ‹áˆˆá‹ áŠ£ááˆªá‰»áŠ• á‹,5,2025-10-12,CBE,google_play
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,google_play
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,google_play
Mamma Husen,2,2025-10-11,CBE,google_play
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,google_play
exceptional application from others bank,5,2025-10-10,CBE,google_play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,google_play
goodğŸ‘ğŸ‘ğŸ‘ğŸ˜ŠğŸ˜ŠğŸ˜Š,5,2025-10-10,CBE,google_play
really good app,5,2025-10-10,CBE,google_play
smart bank CBE,5,2025-10-10,CBE,google_play
Ali urgesa11,3,2025-10-09,CBE,google_play
it's good,5,2025-10-09,CBE,google_play
Good apps,5,2025-10-09,CBE,google_play
password á‰ áŒ£á‰µ áŠ áˆ»áˆ« á‰¢áŠ–áˆ¨á‹ áˆ˜áˆáŠ«áˆ áŠá‰ áˆ­,4,2025-10-09,CBE,google_play
best app i ever seen,5,2025-10-09,CBE,google_play
it's game changing in financial system,4,2025-10-09,CBE,google_play
"z,MKT 20_._!8+â…“â…•ğŸ˜˜r",1,2025-10-09,CBE,google_play
will good updating,5,2025-10-09,CBE,google_play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,google_play
why removing screenshot feature why?,2,2025-10-08,CBE,google_play
very good application! thank you all who participate!,5,2025-10-08,CBE,google_play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,google_play
user compatible app!,5,2025-10-08,CBE,google_play
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,google_play
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,google_play
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,google_play
Asledin Ibsa,5,2025-10-06,CBE,google_play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,google_play
my bank,5,2025-10-05,CBE,google_play
Data,5,2025-10-04,CBE,google_play
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,google_play
excellent app with lots of features,5,2025-10-04,CBE,google_play
very good ğŸ‘ mobile banking,5,2025-10-04,CBE,google_play
so special,5,2025-10-04,CBE,google_play
wiiy ewdihiliw esimirt niho yitnehew metgeyot â¤ğŸ’ğŸ¤”ğŸ˜´ğŸ¤©ğŸ˜,1,2025-10-03,CBE,google_play
woow cbe,5,2025-10-03,CBE,google_play
cbe the best bank app,4,2025-10-03,CBE,google_play
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,google_play
Rijalufaris,5,2025-10-02,CBE,google_play
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,google_play
imoo,3,2025-10-02,CBE,google_play
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,google_play
screen shoot always not allowed why?,5,2025-10-02,CBE,google_play
enkorabetalen,5,2025-10-01,CBE,google_play
Gamada mahamadi,1,2025-10-01,CBE,google_play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,google_play
verfcasencod,5,2025-09-30,CBE,google_play
you can't get your own transaction history,1,2025-09-29,CBE,google_play
sintu,5,2025-09-29,CBE,google_play
BEST,5,2025-09-28,CBE,google_play
Bank of Ethiopia,5,2025-09-28,CBE,google_play
"All most Good, but need improvement",5,2025-09-27,CBE,google_play
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,google_play
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,google_play
niceapp,5,2025-09-27,CBE,google_play
the best app of all,5,2025-09-25,CBE,google_play
â¤ï¸,5,2025-09-25,CBE,google_play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,google_play
Juhaar,5,2025-09-24,CBE,google_play
I am using CBE app very fantastic.,5,2025-09-24,CBE,google_play
bist app tankyou,4,2025-09-23,CBE,google_play
this is very useful and consistent app,5,2025-09-23,CBE,google_play
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,google_play
So good,5,2025-09-23,CBE,google_play
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,google_play
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,google_play
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,google_play
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,google_play
very important app,4,2025-09-21,CBE,google_play
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,google_play
DANTRO BAND!!!,5,2025-09-21,CBE,google_play
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,google_play
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,google_play
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,google_play
áŠ áˆªá áŠá‹ áŠ áˆáŠ• á‹°áŒáˆ áŠ¥áˆµáŠ­áˆªáŠ• áˆ¹á‰µ áˆ›áˆ¨áŒ á‰ áˆ˜á‰»áˆŒ á‹°áŒá‰¥áˆáŠ›áˆ,5,2025-09-20,CBE,google_play
asfaw damse,5,2025-09-19,CBE,google_play
jabadhaa namatii tolataan,5,2025-09-19,CBE,google_play
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,google_play
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,google_play
Truly amazing!,5,2025-09-18,CBE,google_play
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,google_play
ğŸ˜,5,2025-09-18,CBE,google_play
JanaleBl,5,2025-09-17,CBE,google_play
nice application,5,2025-09-17,CBE,google_play
WaaaaaaaW,1,2025-09-17,CBE,google_play
very nice,5,2025-09-16,CBE,google_play
Of,5,2025-09-16,CBE,google_play
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,google_play
Easy to use and not Complicated ğŸ‘,5,2025-09-15,CBE,google_play
apdat the app,5,2025-09-14,CBE,google_play
good in bankin at any time & any where.,5,2025-09-13,CBE,google_play
great,5,2025-09-13,CBE,google_play
"WHAT A USELESS APP! Transfers, wallet payments, other banks â€” nothing works. Updated, restarted, cleared cache, reinstalled â€” still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country canâ€™t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,CBE,google_play
it is best to me,1,2025-09-13,CBE,google_play
hayizgi mebrahtom feshay,5,2025-09-13,CBE,google_play
Excellent app,5,2025-09-12,CBE,google_play
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,CBE,google_play
love,5,2025-09-12,CBE,google_play
Hasasa bank,1,2025-09-11,CBE,google_play
All ways Trusted.,5,2025-09-11,CBE,google_play
best MB application in Ethiopia financial sector.,5,2025-09-11,CBE,google_play
I like this app,5,2025-09-11,CBE,google_play
am tired why I have to update every 5 day,1,2025-09-11,CBE,google_play
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,CBE,google_play
good morning ğŸ™,5,2025-09-10,CBE,google_play
am happy ğŸ˜ƒ,5,2025-09-09,CBE,google_play
wowww,5,2025-09-08,CBE,google_play
KEHRU nasir AbFIXA,5,2025-09-08,CBE,google_play
It is well organized.,5,2025-09-08,CBE,google_play
Can't see the nearest Branch or ATM available,2,2025-09-08,CBE,google_play
the app does not open,1,2025-09-07,CBE,google_play
from Monk,3,2025-09-06,CBE,google_play
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars â­â­â­â­â­ are little to you! Thank you so muchğŸ™",5,2025-09-06,CBE,google_play
incredible,5,2025-09-06,CBE,google_play
á‹¨á‹šáˆ… áŠ á• á‰°áŒ á‰ƒáˆš áŠá‰ áˆ­áŠ© á‹«áˆˆáˆá‰µ áŠ¨áˆ€áŒˆáˆ­ á‹áŒ­ áŠá‹ áŠ¥áŠ“ áŠ¥á‹¨á‰°áŒ á‰€áˆáŠ©á‰ á‰µ áˆ³áˆˆ áŠ á‰¥á‹°á‰µ áŠ á‹µáˆ­áŒŠ áŠ áˆˆáŠ áˆ³áˆ¨áŒˆá‹ á“áˆµá‹ˆáˆ­á‹µ áŠ¥áŠ•á‹´ áŠ á‹µáˆµ áŒ á‹¨á‰€áŠ áŠ¥áŠ•á‹´á‹ áŠ¥áŠ” áŠ áˆˆáˆá‰ á‰µ áˆ€áŒˆáˆ­ áˆ†áŠ˜ áˆ˜áˆµá‰°áŠ«áŠ¨áˆ áŠ¨á‰»áˆˆ á‰°á‰£á‰ áˆ©áŠ á‰ áŒ£áˆ áŠ áˆµáˆáˆ‹áŒŠá‹¬ áŠá‹ ::,5,2025-09-06,CBE,google_play
it's the best money transfer app ever,5,2025-09-06,CBE,google_play
it is nice,5,2025-09-05,CBE,google_play
user friendly. best.,5,2025-09-05,CBE,google_play
ğŸ™,5,2025-09-05,CBE,google_play
áŠ áˆªá,5,2025-09-05,CBE,google_play
best app!!!,5,2025-09-05,CBE,google_play
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,CBE,google_play
very good app,5,2025-09-05,CBE,google_play
jabirabdala,5,2025-09-04,CBE,google_play
unfair cost of transportations... what a shame!!!,1,2025-09-04,CBE,google_play
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04,CBE,google_play
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04,CBE,google_play
zinaa Ahmed,5,2025-09-04,CBE,google_play
absolutely excellent,5,2025-09-04,CBE,google_play
amazing app,5,2025-09-03,CBE,google_play
perfect and easy,5,2025-09-03,CBE,google_play
fastest,5,2025-09-03,CBE,google_play
My account is not working,4,2025-09-03,CBE,google_play
The recent update is not optimized fir latest version of android,2,2025-09-02,CBE,google_play
topp,5,2025-09-02,CBE,google_play
I appreciate it,5,2025-09-01,CBE,google_play
v.good app,5,2025-09-01,CBE,google_play
sahib amin jamal,1,2025-08-31,CBE,google_play
installi,5,2025-08-31,CBE,google_play
very good apps,5,2025-08-30,CBE,google_play
